,job_id,employer_name,job_publisher,job_employment_type,job_description,job_title,job_city,job_state,job_country
0,WiIghOWo_YfpV6ZzAAAAAA==,Global Vision Multimedia,Global Vision Multimedia,FULLTIME,"Job Summary:

The Audio Visual Service Engineer will be responsible for providing technical support for audio visual equipment in a variety of settings, including corporate offices, educational institutions, government agencies, and public venues. The successful candidate will work with clients to troubleshoot and resolve technical issues related to audio visual equipment, including projectors, video walls, digital signage, and video conferencing systems. The role will require extensive knowledge of audio visual equipment, as well as excellent communication and customer service skills.

Key Responsibilities:
• Install, configure, and troubleshoot audio visual equipment such as projectors, video walls, digital signage, and video conferencing systems.
• Work with clients to diagnose and resolve technical issues related to audio visual equipment.
• Provide on-site technical support for events and presentations, including set-up and breakdown of equipment.
• Train clients on the proper use and maintenance of audio visual equipment.
• Maintain an inventory of audio visual equipment and ensure that all equipment is in good working condition.
• Perform preventive maintenance on audio visual equipment to minimize downtime and extend the life of the equipment.
• Stay up-to-date on new audio visual technologies and products and recommend upgrades or improvements to existing systems.
• Provide excellent customer service and maintain positive relationships with clients.

Qualifications:
• Bachelor’s degree in electrical engineering, computer science, or a related field.
• Minimum of 3 years of experience in audio visual engineering or a related field.
• Extensive knowledge of audio visual equipment, including projectors, video walls, digital signage, and video conferencing systems.
• Experience with troubleshooting technical issues related to audio visual equipment.
• Strong communication and customer service skills.
• Ability to work independently and as part of a team.
• Willingness to work flexible hours and be available for on-call support.
• Knowledge of networking and IT infrastructure is a plus.
• This job description is intended to convey information essential to understanding the scope of the Audio Visual Service Engineer position and it is not intended to be an exhaustive list of skills, efforts, duties, or responsibilities associated with this role.",Audio Visual Service Engineer,Manila,NCR,PH
1,EgnvCIg6j2RYejKFAAAAAA==,Ateneo de Manila University,Kalibrr,FULLTIME,"Summary of Work Activities and Responsibilities:

Under the supervision of the Coordinator of the Educational Media Center (EMC), the Audio-Visual Technician I attends to the regular maintenance of all the equipment of the Instructional Technology Center (ITC) including classroom and office equipment. The position is also responsible for setting-up and operating the audio and video system, and live-streaming equipment for school- wide activities.

Main Duties and Responsibilities

I. Frontline Duties / Support
• Assists in charging and discharging of non-print materials and equipment at the ITC
• Issues materials and equipment to borrowers
• Recalls materials and equipment after the scheduled use
• Organizes all materials by sorting and placing them in corresponding containers and shelves
• Accepts and manages reservation requests of facilities and equipment as well as the scheduling of projection rooms and other services
• Installs, sets-up, and operates the requested equipment as needed

II. Audio Visual Services
• Provides support during set up and in operating audio and video systems in the covered courts and other areas during school activities and other special events
• Sets up and operates live feed equipment as needed
• Assists in photo and video-documentation as needed
• Maintains classroom equipment (e.g. LCD projectors, amplifiers, speakers, laptops, etc.)and attends to other class-related AV requirements
• Regularly checks classroom equipment to ensure they are in good working condition
• Assists in troubleshooting faulty classroom equipment during class hours, for matters such as, but not limited to, desktop computer software glitches, hardware failure, and connection issues

III. Inventory and Maintenance of Equipment
• Regularly conducts thorough inventory checks and ensures the maintenance of records for equipment and electronic supplies
• Initiates the new and repeat purchases of electronic supplies and spare parts as needed
• Maintains all equipment assigned and AV materials under the EMC-ITC for maximum utilization
• Recommends possible action to damaged or malfunctioning equipment
• Brings damaged equipment to service centers for repairs, acquiring parts and supplies when needed
• Keeps track of all maintenance and repair jobs on equipment, and submits an annual report of all maintenance and repair jobs performed
• Gives technical advice and recommends new or replacement equipment for acquisition

IV. Performs other duties as may be required by the immediate supervisor or authorized representative.",Audio Visual Technician,Lungsod Quezon,NCR,PH
2,L3v6CSQcbV-n8oVnAAAAAA==,Global Vision Multimedia,Global Vision Multimedia,FULLTIME,"Job Summary:

The Audio Visual Facilitate Management professional will be responsible for managing and coordinating the audio visual systems and equipment in various settings, including conference rooms, event spaces, educational institutions, government agencies, and public venues. The successful candidate will work closely with clients to ensure that all audio visual equipment is functioning properly and effectively, and will oversee the installation, maintenance, and operation of audio visual systems. The role will require excellent organizational and communication skills, as well as a strong technical background in audio visual equipment and systems.

Key Responsibilities:
• Manage and oversee the installation, configuration, and operation of audio visual equipment, including projectors, screens, sound systems, lighting, and video conferencing systems.
• Provide technical support and troubleshooting for audio visual equipment and systems, and ensure that all issues are resolved promptly and effectively.
• Develop and maintain relationships with clients and stakeholders to understand their audio visual needs, and provide recommendations for improvements and upgrades to existing systems.
• Plan and execute audio visual setups for events and meetings, including coordinating with vendors, technicians, and other stakeholders to ensure that all equipment is properly installed and functioning.
• Maintain an inventory of audio visual equipment, and ensure that all equipment is properly maintained and in good working condition.
• Develop and maintain documentation and training materials for audio visual systems, and provide training to end-users to ensure that they are able to effectively utilize audio visual equipment and systems.
• Stay up-to-date on new audio visual technologies and products, and make recommendations for upgrades or improvements to existing systems.
• Work with other teams and stakeholders to ensure that audio visual systems are integrated with other technology systems and platforms.

Qualifications:
• Bachelor’s degree in electrical engineering, computer science, or a related field.
• Minimum of 5 years of experience in audio visual engineering, facilitate management or a related field.
• Strong technical knowledge of audio visual equipment and systems, including projectors, screens, sound systems, lighting, and video conferencing systems.
• Experience managing audio visual systems in a corporate, educational, or event setting.
• Excellent organizational and communication skills, with the ability to manage multiple projects and stakeholders simultaneously.
• Strong problem-solving skills and ability to troubleshoot technical issues quickly and effectively.
• Knowledge of networking and IT infrastructure is a plus.
• Ability to work independently and as part of a team, and willingness to work flexible hours and be available for on-call support.
• This job description is intended to convey information essential to understanding the scope of the Audio Visual Facilitate Management position and it is not intended to be an exhaustive list of skills, efforts, duties, or responsibilities associated with this role.",Audio Visual Facilitate Management,Manila,NCR,PH
3,qG0WBO3MAh4aUTDJAAAAAA==,"Studio West Philippines, Inc.",Glassdoor,FULLTIME,"Are you ready to immerse yourself in the cutting-edge world of audiovisual technology? Embark on an exciting journey with us as an AV Engineer and help transform spaces through innovative audiovisual solutions!

Here at Studio West, we give you what you need:

Work-life balance

Working at Studio West will allow you to pursue your personal interests, self-care, and spend more time with your love ones.
• Monday to Friday work schedule. Weekends are yours to spend
• Paid time-off benefits
• Hybrid work set-up: combination of Work-From-Home (WFH) and Return-To-Office (RTO) set-up

Career Growth and Opportunity

Our people-focused culture enables us to create a work environment that provides everyone purpose and allows each one to make their mark in their careers.
• Level up technical and soft skills through continuous learning and training programs
• Room for career progression. Studio West is an equal-opportunity employer, processing candidates based on their qualifications and evaluating employees on performance and adherence to our corporate values. We provide promotional opportunities to those who are experienced and qualified from our ranks.

Job Security

We want our employees to focus and excel on their jobs without having to worry about anything else.
• Regular, full-time positions offered
• A growing, stable company working on US-based projects

Competitive benefits

We value our employees’ health and well-being. We believe in ensuring that they are healthy and happy while working with us.
• HMO for all employees upon start date with coverage above current market standards
• HMO for dependents after a year of working in the company
• Life insurance coverage
• Retirement benefit - Defined contribution
• Medicine reimbursement
• Vision and gym subsidy
• Internet subsidy while working from home
• Mental wellness programs

Join our team and apply for AV Engineer!

REQUIREMENTS:

Must have working knowledge with commercial and professional audio-visual applications.
• Bachelor’s degree in Electronics Engineering or related experience in the field of audio visual
• Preferably 2+ years of experience in engineering, design, and commissioning role
• AVIXA certifications (CTS, CTS-I, CTS-D) preferred but not required.
• Proficient in AUTOCAD
• Basic knowledge in Microsoft Office
• Revit knowledge and experience is a plus
• Good English communication, interpersonal, and organizational skills
• Ability to multi-task; self-motivated and directed
• Must be willing to work in a night shift schedule

Here's what you'll be doing at work:
• Provides research, design and engineering drawings required to complete documentation of AV systems.
• Develops and updates internal processes based on client standards and requirements including engineering and drawing standards, procedures, product equipment manufacturer and project lifecycle.
• Produces design documentation for use in implementing system installations with specific detail to the audiovisual and architectural features of the design and facility. Typical documentation may include floor plans, equipment elevations and mounting details, schematic signal flow diagrams, wire label extraction and bill of materials.
• Participate in team-based Audio-visual projects to review processes and deliverables and ensure the quality and consistency of engineering work.
• Communicates directly with counterparts. Analyzes and clarifies information required to complete deliverables.
• Performs other duties as may be assigned by management.

Our office is at Rockwell Business Center-Sheridan, Sheridan cor. United Sts., Barangay Highway Hills, Mandaluyong City.

We invite you to try us out and join #teamstudiowest as an AV Engineer!

We look forward to seeing you soon!

#AVengineer #AV #Audiovisual #hybrid

Job Types: Full-time, Permanent

Pay: From Php25,000.00 per month

Application Question(s):
• What's your expected monthly basic salary?
• How would you rate your English language skills?

Education:
• Bachelor's (Required)

Experience:
• Audiovisual design: 1 year (Required)
• AutoCAD: 1 year (Required)

Application Deadline: 05/05/2024",Audiovisual Engineer,Mandaluyong,NCR,PH
4,fN88wx6k5K4aT-TCAAAAAA==,Kares International Commodities & Manpower Services Corporation,Talent.com,FULLTIME,"Understanding the event's requirements and specifications.- Discussing with the Event Coordinator about the equipment needed.
• Reading and interpreting the venue layouts.- Setting the sound and audio equipment.- Installing all the electrical wiring for support.
• Setting up the media equipment such as video monitors, projectors, sound systems, etc.- Providing outstanding customer service to the clients.
• Developing a strong relationship with the clients.- Testing the equipment before all the events.- Troubleshooting and adjusting the AV equipment.
• Spotting last-minute issues and resolving them quickly.- Utilizing the electrical testing devices to measure signal output.
• Repairing the equipment as and when required.- Supervising the new team members.- Communicating with the team members in a professional manner.
• Ensuring a smooth transition during the event.- Staying abreast of the latest technology models.- At least high school graduate.
• Willing to start asap. Job Types : Full-time, Permanent Benefits : - Health insurance- Opportunities for promotion- Pay raise- Promotion to permanent employeeSchedule : - 8 hour shift- OvertimeSupplemental pay types : - 13th month salary- Overtime payAbility to commute / relocate : - Makati City : Reliably commute or planning to relocate before starting work (required)",Audio Video Technician,Makati,NCR,PH
5,cSlTsIMP3yc6sFCUAAAAAA==,"Integrated Systems Technologies Philippines, OPC.",Indeed,FULLTIME,"Job description

BASIC REQUIREMENTS
• Bachelor / Diploma or equivalent experience of Electronics and Communication, IT / Multimedia, Computer related course.
• Can communicate well in English

JOB DESCRIPTION
• Transporting, setting up, and installing media equipment and audiovisual support tools, including speakers, monitors, cameras, and equipment racks.
• Setting up and performing electrical wiring, programming, and basic construction according to layout diagrams and schedules.
• Developing good relationships with clients to keep production moving and to help out production or project/event coordinators.
• Running tests on videos, audio, and signals and troubleshooting any problems that arise.
• Meeting clients' standards by handling equipment malfunctions and executing a flawless event.
• Disassembling equipment, wiring, and support tools in a safe manner.
• Performing inventory management on equipment, wiring, and accessories.
• Carrying out any cleaning, maintenance, or repairs on audiovisual equipment.
• Generating expense reports for management.

Job Types: Full-time, Permanent

Salary: Php18,000.00 - Php24,000.00 per month

Benefits:
• Promotion to permanent employee

Schedule:
• 8 hour shift
• Monday to Friday

Job Types: Full-time, Permanent

Pay: Php18,000.00 - Php24,000.00 per month

Benefits:
• Opportunities for promotion
• Promotion to permanent employee

Schedule:
• 8 hour shift
• Monday to Friday

Supplemental pay types:
• 13th month salary
• Overtime pay

Experience:
• AV Technician: 3 years (Required)

Language:
• English (Preferred)

License/Certification:
• drivers license (Preferred)",Audio Visual Technician,Lungsod Quezon,NCR,PH
7,OXPVUa6kuf3rSDFcAAAAAA==,United Neon Advertising Inc.,MyCareersDB,FULLTIME,"Job Description

Please fill out our Candidate Pre-Screening Form here: https://forms.gle/RV48pwrcQsLt5Qu57

Job Overview

The Solutions Engineer is a key position in the sales and marketing of Media Display Solutions to achieve financial targets by providing technical presentation and discussion in a manner that clients will understand. The Solutions Engineer in responsible for assessing the technical needs of both the client and the organization, provides effective and efficient solution design, and conducts user training for clients.

As MDS aims to achieve and focus on efficient and effective solution selling with superior service, the Solution Engineer shall perform technical and product research in assistance to Business Division Head to develop new product, redesign existing products and testing on product concepts. The position shall also conduct trainings to Technical Support Team and other key persons to ensure that they are equipped for project implementation.

Duties and Responsibilities
• Solicits and maintains accounts through proper implementation of sales and marketing strategies
• Prepares and delivers technical presentations of products and services to clients and partners
• Conducts site visit and ocular inspection
• Conducts technical assessment to provide effective and efficient solution design and bill of materials
• Calculates client quotation and conducts cost analysis
• Negotiates and closes tender details and contract terms
• Provides diagram for electrical and data supply in coordination with MDS Operations Team
• Conducts user training to end-users
• Research and keep up with technology trends to identify and or develop new products/services
• Establish and maintain good working relationship and coordination with Sales team and other company divisions
• Provides technical training to ensure technical support team and partners are well equipped
• Provides technical support as necessary
• Prepares sales and client reports
• Does administrative tasks such as:
• Reimbursement and liquidation of expenses
• Preparation and facilitation of Turnover Documents
• Maintain an organize and accurate documentation systems in accordance to the company’s standard procedures and process
• To perform other related tasks from time to time

Job Specification
• At least 2 years’ experience in technical sales
• A Bachelor’s degree in Engineering (Electronics Communication Engineering) or equivalent.
• Working experience with LED and Audio Visual Systems
• Proficiency in using MS Office
• Excellent relationship building skills
• Excellent listening and presentation skills
• Excellent in analytical and problem solving skills
• Proficient in conducting cost analysis
• Excellent time management skills
• Good negotiation skills
• Good eye for details",Audio-Visual and LED Systems Solutions Engineer,Makati,NCR,PH
10,BYiEwJcIk6urFMi3AAAAAA==,BPO GLOBAL,Indeed,FULLTIME,"Qualifications
- Must have 2 years of accumulated work experience in a formal setting (Freelance jobs not counted)
- Current resident of the Philippines
- Can work at least 40 hours per week in the graveyard shift
- Must have their own computer and noise cancelling headset
- 8GB RAM but 16GB is recommended
- For Laptop: 8th Generation (8000 series) Core i5 or better, AMD Ryzen Series Processor
- For Desktop: Ryzen 5 3000 series and above. If Core i3, 10th Generation or higher
- For Mac: Core i5 - 2017 or higher; Core i7 - 2016 or higher (Core i3 is not recommended)
- Must have 50 mbps fiber connection

Job Types: Full-time, New-Grad, Permanent

Pay: Php18,000.00 - Php40,000.00 per month",Call Center Agent/Customer Service Representative - WFH,Maynila,NCR,PH
14,zdJeQ2pqsTaBPHK6AAAAAA==,LSBC,Talent.com,FULLTIME,"Job Responsibilities : Follow standard operations and procedures. Recognize and escalate priority problems in accordance with Client standards.

Ensure one call resolution prioritizing customer satisfaction.Qualifications : With or without BPO Experience At least High School Graduate (Old curriculum) SHS graduate Willing to work onsite Open for newbies / Fresh graduate Average to Excellent communication skillsBenefits : Free Coffee Government Mandated Benefits Paid training Night Diff Free medical HMO upon regularization Performance bonus 13th monthWork location Around Metro Manila",Call Center Agent ( Open for Newbies / Fresh Graduate ),Maynila,NCR,PH
15,SoHEDfow3xPH6pnTAAAAAA==,Aces Call Center Jobs Inc.,Kalibrr,FULLTIME,"• Maintain call center database by entering information.
• Complete call logs.
• Meet personal/team qualitative and quantitative targets.
• Identify and escalate priority issues.
• Handle customers' inquiries both telephonically and by email.",Call Center Agent | Makati,Makati,NCR,PH
